INSERT INTO `dede_taglist` VALUES('1','1','0','8','模特诱惑');
INSERT INTO `dede_taglist` VALUES('2','1','0','8','平面写真');
INSERT INTO `dede_taglist` VALUES('3','2','0','8','平面模特');
INSERT INTO `dede_taglist` VALUES('4','2','0','8','写真照');
INSERT INTO `dede_taglist` VALUES('5','3','0','8','丰满');
INSERT INTO `dede_taglist` VALUES('6','3','0','1','少女');
INSERT INTO `dede_taglist` VALUES('7','3','0','8','狂秀');
INSERT INTO `dede_taglist` VALUES('8','3','0','8','性感');
INSERT INTO `dede_taglist` VALUES('9','3','0','6','身材');
INSERT INTO `dede_taglist` VALUES('10','4','0','8','长发美女');
INSERT INTO `dede_taglist` VALUES('11','4','0','8','美女洁白如玉');
INSERT INTO `dede_taglist` VALUES('12','5','0','8','短发美模');
INSERT INTO `dede_taglist` VALUES('8','6','0','8','性感');
INSERT INTO `dede_taglist` VALUES('13','6','0','8','原美');
INSERT INTO `dede_taglist` VALUES('14','6','0','6','制服');
INSERT INTO `dede_taglist` VALUES('4','6','0','8','写真照');
INSERT INTO `dede_taglist` VALUES('15','7','0','8','颓废FEEL');
INSERT INTO `dede_taglist` VALUES('16','7','0','8','美女黑色');
INSERT INTO `dede_taglist` VALUES('3','8','0','8','平面模特');
INSERT INTO `dede_taglist` VALUES('17','8','0','8','艺术写真');
INSERT INTO `dede_taglist` VALUES('18','9','0','1','甜美');
INSERT INTO `dede_taglist` VALUES('19','9','0','8','爱的');
INSERT INTO `dede_taglist` VALUES('20','9','0','6','日本');
INSERT INTO `dede_taglist` VALUES('21','9','0','8','美女');
INSERT INTO `dede_taglist` VALUES('8','9','0','8','性感');
INSERT INTO `dede_taglist` VALUES('22','9','0','7','私房');
INSERT INTO `dede_taglist` VALUES('21','10','0','8','美女');
INSERT INTO `dede_taglist` VALUES('23','10','0','8','厦欣雨');
INSERT INTO `dede_taglist` VALUES('24','10','0','8','年轻活力');
INSERT INTO `dede_taglist` VALUES('3','11','0','8','平面模特');
INSERT INTO `dede_taglist` VALUES('25','11','0','8','外拍写真');
INSERT INTO `dede_taglist` VALUES('26','12','0','8','韩系超');
INSERT INTO `dede_taglist` VALUES('27','12','0','6','性感美女');
INSERT INTO `dede_taglist` VALUES('28','12','0','8','组图');
INSERT INTO `dede_taglist` VALUES('29','12','0','8','欣赏');
INSERT INTO `dede_taglist` VALUES('2','13','0','8','平面写真');
INSERT INTO `dede_taglist` VALUES('30','13','0','8','美女模特儿');
INSERT INTO `dede_taglist` VALUES('31','14','0','1','美模');
INSERT INTO `dede_taglist` VALUES('32','14','0','7','写真');
INSERT INTO `dede_taglist` VALUES('27','15','0','6','性感美女');
INSERT INTO `dede_taglist` VALUES('33','15','0','8','翘臀');
INSERT INTO `dede_taglist` VALUES('34','15','0','1','美胸');
INSERT INTO `dede_taglist` VALUES('32','15','0','7','写真');
INSERT INTO `dede_taglist` VALUES('35','16','0','8','清纯美女');
INSERT INTO `dede_taglist` VALUES('36','16','0','8','私房写真');
INSERT INTO `dede_taglist` VALUES('37','17','0','8','可爱美女');
INSERT INTO `dede_taglist` VALUES('38','18','0','8','自瞳胆溺');
INSERT INTO `dede_taglist` VALUES('39','18','0','8','弌弥');
INSERT INTO `dede_taglist` VALUES('40','18','0','8','ゆか');
INSERT INTO `dede_taglist` VALUES('41','18','0','8','辛握');
INSERT INTO `dede_taglist` VALUES('42','18','0','8','亟寔');
INSERT INTO `dede_taglist` VALUES('43','19','0','8','水嫩美模');
INSERT INTO `dede_taglist` VALUES('3','20','0','8','平面模特');
INSERT INTO `dede_taglist` VALUES('44','21','0','8','天使');
INSERT INTO `dede_taglist` VALUES('45','21','0','8','脸蛋儿');
INSERT INTO `dede_taglist` VALUES('46','21','0','8','纯洁');
INSERT INTO `dede_taglist` VALUES('47','21','0','8','平面');
INSERT INTO `dede_taglist` VALUES('48','21','0','1','模特');
INSERT INTO `dede_taglist` VALUES('49','21','0','8','模');
INSERT INTO `dede_taglist` VALUES('3','22','0','8','平面模特');
INSERT INTO `dede_taglist` VALUES('50','23','0','8','雪白模特');
INSERT INTO `dede_taglist` VALUES('32','23','0','7','写真');
INSERT INTO `dede_taglist` VALUES('51','24','0','1','韩国');
INSERT INTO `dede_taglist` VALUES('47','24','0','8','平面');
INSERT INTO `dede_taglist` VALUES('48','24','0','1','模特');
INSERT INTO `dede_taglist` VALUES('52','24','0','7','可爱');
INSERT INTO `dede_taglist` VALUES('53','24','0','7','脸蛋');
INSERT INTO `dede_taglist` VALUES('31','25','0','1','美模');
INSERT INTO `dede_taglist` VALUES('54','25','0','8','艺术照');
INSERT INTO `dede_taglist` VALUES('8','26','0','8','性感');
INSERT INTO `dede_taglist` VALUES('3','27','0','8','平面模特');
INSERT INTO `dede_taglist` VALUES('8','28','0','8','性感');
INSERT INTO `dede_taglist` VALUES('47','28','0','8','平面');
INSERT INTO `dede_taglist` VALUES('48','28','0','1','模特');
INSERT INTO `dede_taglist` VALUES('55','28','0','8','分红');
INSERT INTO `dede_taglist` VALUES('56','28','0','4','诱惑');
INSERT INTO `dede_taglist` VALUES('57','29','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('52','29','0','7','可爱');
INSERT INTO `dede_taglist` VALUES('58','29','0','7','私房照');
INSERT INTO `dede_taglist` VALUES('57','30','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('59','31','0','7','MMChanel');
INSERT INTO `dede_taglist` VALUES('60','31','0','6','童颜');
INSERT INTO `dede_taglist` VALUES('61','31','0','7','巨乳');
INSERT INTO `dede_taglist` VALUES('62','31','0','6','自拍');
INSERT INTO `dede_taglist` VALUES('57','32','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('32','32','0','7','写真');
INSERT INTO `dede_taglist` VALUES('21','32','0','8','美女');
INSERT INTO `dede_taglist` VALUES('63','33','0','5','极品美女');
INSERT INTO `dede_taglist` VALUES('64','33','0','7','李多海');
INSERT INTO `dede_taglist` VALUES('57','33','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('65','33','0','8','照片');
INSERT INTO `dede_taglist` VALUES('66','34','0','1','火辣');
INSERT INTO `dede_taglist` VALUES('57','34','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('8','34','0','8','性感');
INSERT INTO `dede_taglist` VALUES('67','34','0','1','美女模特');
INSERT INTO `dede_taglist` VALUES('57','35','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('31','35','0','1','美模');
INSERT INTO `dede_taglist` VALUES('51','36','0','1','韩国');
INSERT INTO `dede_taglist` VALUES('68','36','0','7','最美');
INSERT INTO `dede_taglist` VALUES('69','36','0','6','车模');
INSERT INTO `dede_taglist` VALUES('70','36','0','7','宋智娜');
INSERT INTO `dede_taglist` VALUES('8','36','0','8','性感');
INSERT INTO `dede_taglist` VALUES('65','36','0','8','照片');
INSERT INTO `dede_taglist` VALUES('71','36','0','7','宋智');
INSERT INTO `dede_taglist` VALUES('72','37','0','1','绝色');
INSERT INTO `dede_taglist` VALUES('73','37','0','7','纯美');
INSERT INTO `dede_taglist` VALUES('74','37','0','7','女的');
INSERT INTO `dede_taglist` VALUES('14','37','0','6','制服');
INSERT INTO `dede_taglist` VALUES('56','37','0','4','诱惑');
INSERT INTO `dede_taglist` VALUES('35','38','0','7','清纯美女');
INSERT INTO `dede_taglist` VALUES('4','38','0','7','写真照');
INSERT INTO `dede_taglist` VALUES('51','39','0','1','韩国');
INSERT INTO `dede_taglist` VALUES('8','39','0','8','性感');
INSERT INTO `dede_taglist` VALUES('69','39','0','6','车模');
INSERT INTO `dede_taglist` VALUES('75','39','0','7','朴秀');
INSERT INTO `dede_taglist` VALUES('76','39','0','7','图片欣赏');
INSERT INTO `dede_taglist` VALUES('77','39','0','7','图');
INSERT INTO `dede_taglist` VALUES('57','40','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('78','40','0','1','泳装');
INSERT INTO `dede_taglist` VALUES('8','40','0','8','性感');
INSERT INTO `dede_taglist` VALUES('56','40','0','4','诱惑');
INSERT INTO `dede_taglist` VALUES('35','41','0','7','清纯美女');
INSERT INTO `dede_taglist` VALUES('79','41','0','7','唯美');
INSERT INTO `dede_taglist` VALUES('80','42','0','7','韩国明星');
INSERT INTO `dede_taglist` VALUES('81','42','0','7','Song');
INSERT INTO `dede_taglist` VALUES('82','42','0','7','Jina');
INSERT INTO `dede_taglist` VALUES('57','42','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('32','42','0','7','写真');
INSERT INTO `dede_taglist` VALUES('21','43','0','8','美女');
INSERT INTO `dede_taglist` VALUES('83','43','0','7','艾可');
INSERT INTO `dede_taglist` VALUES('22','43','0','7','私房');
INSERT INTO `dede_taglist` VALUES('65','43','0','8','照片');
INSERT INTO `dede_taglist` VALUES('84','44','0','7','清纯美眉');
INSERT INTO `dede_taglist` VALUES('32','44','0','7','写真');
INSERT INTO `dede_taglist` VALUES('85','45','0','7','乌克兰');
INSERT INTO `dede_taglist` VALUES('21','45','0','8','美女');
INSERT INTO `dede_taglist` VALUES('86','45','0','7','红色');
INSERT INTO `dede_taglist` VALUES('87','45','0','7','短裙');
INSERT INTO `dede_taglist` VALUES('8','45','0','8','性感');
INSERT INTO `dede_taglist` VALUES('56','45','0','4','诱惑');
INSERT INTO `dede_taglist` VALUES('88','45','0','7','短');
INSERT INTO `dede_taglist` VALUES('51','46','0','1','韩国');
INSERT INTO `dede_taglist` VALUES('68','46','0','7','最美');
INSERT INTO `dede_taglist` VALUES('69','46','0','6','车模');
INSERT INTO `dede_taglist` VALUES('89','46','0','7','韩美姬');
INSERT INTO `dede_taglist` VALUES('90','46','0','4','高清');
INSERT INTO `dede_taglist` VALUES('4','46','0','7','写真照');
INSERT INTO `dede_taglist` VALUES('91','46','0','7','韩');
INSERT INTO `dede_taglist` VALUES('57','47','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('92','47','0','7','嫩模');
INSERT INTO `dede_taglist` VALUES('93','48','0','7','双胞胎');
INSERT INTO `dede_taglist` VALUES('94','48','0','2','女超');
INSERT INTO `dede_taglist` VALUES('8','48','0','8','性感');
INSERT INTO `dede_taglist` VALUES('76','48','0','7','图片欣赏');
INSERT INTO `dede_taglist` VALUES('80','49','0','7','韩国明星');
INSERT INTO `dede_taglist` VALUES('95','49','0','7','许允美');
INSERT INTO `dede_taglist` VALUES('57','49','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('32','49','0','7','写真');
INSERT INTO `dede_taglist` VALUES('96','50','0','7','清纯模特');
INSERT INTO `dede_taglist` VALUES('97','51','0','7','超自然');
INSERT INTO `dede_taglist` VALUES('57','51','0','7','清纯');
INSERT INTO `dede_taglist` VALUES('98','51','0','7','素颜');
INSERT INTO `dede_taglist` VALUES('51','51','0','1','韩国');
INSERT INTO `dede_taglist` VALUES('99','51','0','7','美女照片');
INSERT INTO `dede_taglist` VALUES('8','52','0','8','性感');
INSERT INTO `dede_taglist` VALUES('100','52','0','7','大胸');
INSERT INTO `dede_taglist` VALUES('21','52','0','8','美女');
INSERT INTO `dede_taglist` VALUES('101','52','0','7','杨棋涵');
INSERT INTO `dede_taglist` VALUES('102','52','0','7','浴室');
INSERT INTO `dede_taglist` VALUES('103','52','0','3','湿身');
INSERT INTO `dede_taglist` VALUES('104','52','0','7','杨棋');
INSERT INTO `dede_taglist` VALUES('105','53','0','7','清纯美模');
INSERT INTO `dede_taglist` VALUES('106','53','0','7','街拍照');
INSERT INTO `dede_taglist` VALUES('57','54','0','7','清纯');
